cycle,sample_type,time_elapsed,num_samples,parameter,delta,delta_trials,sample_period,estimated_distribution
4,Gibbs,152.03870591698796,20000000,20x20,0.001,5,1000000,0.52398
4,Token,171.8218047080154,23000000,20x20,0.001,5,1000000,0.5228535217391305
4,Gibbs,134.0698977090069,8750000,50x50,0.01,5,1250000,0.5131098285714286
4,Token,131.86406975000864,8750000,50x50,0.01,5,1250000,0.4798818285714286
4,Gibbs,383.270294499991,55500000,10x10,0.0001,5,750000,0.5153441441441441
4,Token,374.58512108400464,54750000,10x10,0.0001,5,750000,0.5147760913242009
4,Gibbs,90.87228850001702,12000000,20x20,0.001,5,1000000,0.5225930833333333
4,Token,104.54661554199993,14000000,20x20,0.001,5,1000000,0.5199487142857143
4,Gibbs,114.39624025000376,7500000,50x50,0.01,5,1250000,0.534
4,Token,112.64073774998542,7500000,50x50,0.01,5,1250000,0.5140594666666667
4,Gibbs,254.57816500001354,36750000,10x10,0.0001,5,750000,0.5136925170068027
4,Token,245.05137237499002,36000000,10x10,0.0001,5,750000,0.5144486388888889
4,Gibbs,169.0541317909956,22000000,20x20,0.001,5,1000000,0.5267090909090909
4,Token,121.17529870898579,16000000,20x20,0.001,5,1000000,0.5213774375
4,Gibbs,134.84523137498763,8750000,50x50,0.01,5,1250000,0.502
4,Token,94.77276229098788,6250000,50x50,0.01,5,1250000,0.4782144
4,Gibbs,337.8702342089964,48750000,10x10,0.0001,5,750000,0.5153641025641026
4,Token,249.34842641698197,36750000,10x10,0.0001,5,750000,0.5146324081632653
4,Gibbs,168.46257462500944,22000000,20x20,0.001,5,1000000,0.5258181818181819
4,Token,120.60784662500373,16000000,20x20,0.001,5,1000000,0.5244526875
4,Gibbs,115.98551125000813,7500000,50x50,0.01,5,1250000,0.49066666666666664
4,Token,115.23444000000018,7500000,50x50,0.01,5,1250000,0.4918724
4,Gibbs,352.7937704999931,51000000,10x10,0.0001,5,750000,0.5144775294117647
4,Token,317.8965199999802,46500000,10x10,0.0001,5,750000,0.5144684301075269
4,Gibbs,213.41405262501212,28000000,20x20,0.001,5,1000000,0.5227049642857143
4,Token,127.56356524999137,17000000,20x20,0.001,5,1000000,0.5218968235294118
4,Gibbs,132.366465833009,8750000,50x50,0.01,5,1250000,0.5108530285714286
4,Token,131.1635454579955,8750000,50x50,0.01,5,1250000,0.5037552
5,Gibbs,401.207117834012,58500000,10x10,0.0001,5,750000,0.4937128205128205
5,Token,332.1390912079951,48750000,10x10,0.0001,5,750000,0.4937241230769231
5,Gibbs,113.23103712499142,15000000,20x20,0.001,5,1000000,0.5114933333333334
5,Token,119.72967504200642,16000000,20x20,0.001,5,1000000,0.5084500625
5,Gibbs,192.56414920900716,12500000,50x50,0.01,5,1250000,0.5294
5,Token,168.86275724999723,11250000,50x50,0.01,5,1250000,0.5328233777777778
5,Gibbs,270.6934454169823,39000000,10x10,0.0001,5,750000,0.4932897435897436
5,Token,458.5603235840099,67500000,10x10,0.0001,5,750000,0.4943148
5,Gibbs,175.26527679199353,23000000,20x20,0.001,5,1000000,0.5060732173913044
5,Token,83.21914337499766,11000000,20x20,0.001,5,1000000,0.5093050909090909
5,Gibbs,96.19492075001472,6250000,50x50,0.01,5,1250000,0.5288
5,Token,112.8920276670251,7500000,50x50,0.01,5,1250000,0.5335068
5,Gibbs,201.2530063750164,29250000,10x10,0.0001,5,750000,0.4947145299145299
5,Token,163.11109054199187,24000000,10x10,0.0001,5,750000,0.4944084166666667
5,Gibbs,191.86017645901302,25000000,20x20,0.001,5,1000000,0.50773264
5,Token,67.55390787500073,9000000,20x20,0.001,5,1000000,0.5098648888888889
5,Gibbs,171.66624520899495,11250000,50x50,0.01,5,1250000,0.5295555555555556
5,Token,189.288042915985,12500000,50x50,0.01,5,1250000,0.521458
5,Gibbs,329.1778916250041,48000000,10x10,0.0001,5,750000,0.49435416666666665
5,Token,269.6423007909907,39750000,10x10,0.0001,5,750000,0.4944691320754717
5,Gibbs,92.13491541700205,12000000,20x20,0.001,5,1000000,0.5072333333333333
5,Token,143.96791070900508,19000000,20x20,0.001,5,1000000,0.511184947368421
5,Gibbs,96.01416824999615,6250000,50x50,0.01,5,1250000,0.5304
5,Token,169.87791045801714,11250000,50x50,0.01,5,1250000,0.5303350222222222
5,Gibbs,372.93650516701746,54000000,10x10,0.0001,5,750000,0.4936351851851852
5,Token,319.07874549998087,47250000,10x10,0.0001,5,750000,0.4947387724867725
5,Gibbs,183.8408959999797,24000000,20x20,0.001,5,1000000,0.5071666666666667
5,Token,143.6194375839841,19000000,20x20,0.001,5,1000000,0.5042902631578947
5,Gibbs,154.31246575000114,10000000,50x50,0.01,5,1250000,0.5127788
5,Token,130.76103999998304,8750000,50x50,0.01,5,1250000,0.5242339428571429
6,Gibbs,159.15353733400116,23250000,10x10,0.0001,5,750000,0.5051526881720431
6,Token,346.12054108301527,51000000,10x10,0.0001,5,750000,0.5046548235294117
6,Gibbs,144.8916779999854,19000000,20x20,0.001,5,1000000,0.519759
6,Token,142.00232016699738,19000000,20x20,0.001,5,1000000,0.5197791578947368
6,Gibbs,155.30799770800513,10000000,50x50,0.01,5,1250000,0.50625
6,Token,171.12320299999556,11250000,50x50,0.01,5,1250000,0.5044138666666667
6,Gibbs,293.74770783400163,42750000,10x10,0.0001,5,750000,0.5053777777777778
6,Token,388.54620333298226,57000000,10x10,0.0001,5,750000,0.5047038947368421
6,Gibbs,214.6715404590068,28000000,20x20,0.001,5,1000000,0.5159714285714285
6,Token,97.87639783299528,13000000,20x20,0.001,5,1000000,0.5165498461538461
6,Gibbs,115.19697566700052,7500000,50x50,0.01,5,1250000,0.5073333333333333
6,Token,132.2517088750028,8750000,50x50,0.01,5,1250000,0.49352891428571427
6,Gibbs,289.27395637502195,42000000,10x10,0.0001,5,750000,0.5051694047619048
6,Token,253.94989899999928,36750000,10x10,0.0001,5,750000,0.5042421768707483
6,Gibbs,111.89392358399346,14000000,20x20,0.001,5,1000000,0.5151714285714286
6,Token,102.22207224997692,13000000,20x20,0.001,5,1000000,0.5214474615384616
6,Gibbs,180.19302229199093,11250000,50x50,0.01,5,1250000,0.49258595555555557
6,Token,118.76234908300103,7500000,50x50,0.01,5,1250000,0.5014265333333333
6,Gibbs,296.99476970901014,41250000,10x10,0.0001,5,750000,0.5044921212121212
6,Token,233.2573636249872,33000000,10x10,0.0001,5,750000,0.5056846060606061
6,Gibbs,103.84781508299056,13000000,20x20,0.001,5,1000000,0.5170769230769231
6,Token,78.30414487500093,10000000,20x20,0.001,5,1000000,0.5239176
6,Gibbs,140.4595906669856,8750000,50x50,0.01,5,1250000,0.49742857142857144
6,Token,175.7057226250181,11250000,50x50,0.01,5,1250000,0.5051821333333333
6,Gibbs,277.573237375007,38250000,10x10,0.0001,5,750000,0.5039670849673202
6,Token,429.9034010829928,60000000,10x10,0.0001,5,750000,0.5045677666666667
6,Gibbs,181.45441687499988,22000000,20x20,0.001,5,1000000,0.5125272727272727
6,Token,123.90829416600172,15000000,20x20,0.001,5,1000000,0.5128380666666666
6,Gibbs,104.49620258400682,6250000,50x50,0.01,5,1250000,0.5044
6,Token,153.57300454197684,10000000,50x50,0.01,5,1250000,0.5006585
