cycle,sample_type,time_elapsed,parameter,delta,sample_period,estimated_distribution
4,Gibbs,60.22923254100169,50x50,0.001,2000000,0.5266545
4,Token,88.65319649999583,50x50,0.001,2000000,0.5187571666666667
4,Gibbs,15.195184667005378,10x10,0.001,750000,0.5112
4,Token,14.821270041997195,10x10,0.001,750000,0.5108231111111111
4,Gibbs,22.328685666005185,20x20,0.001,1500000,0.48413066666666665
4,Token,55.08526270799484,20x20,0.001,1500000,0.4760896
4,Gibbs,90.0682904589994,50x50,0.001,2000000,0.495
4,Token,146.95606066699838,50x50,0.001,2000000,0.5045242
4,Gibbs,15.076682375001837,10x10,0.001,750000,0.5099395555555556
4,Token,19.8959728750051,10x10,0.001,750000,0.513304
4,Gibbs,89.19084925000061,20x20,0.001,1500000,0.48174058333333336
4,Token,66.61436362499808,20x20,0.001,1500000,0.47963633333333333
4,Gibbs,120.30142345799686,50x50,0.001,2000000,0.518601
4,Token,117.99036008300027,50x50,0.001,2000000,0.525471125
4,Gibbs,15.156051666999701,10x10,0.001,750000,0.5120022222222222
4,Token,19.896782208998047,10x10,0.001,750000,0.504147
4,Gibbs,66.98073383299925,20x20,0.001,1500000,0.48663355555555554
4,Token,54.954828666006506,20x20,0.001,1500000,0.48070653333333335
4,Gibbs,90.15714083399507,50x50,0.001,2000000,0.501965
4,Token,118.34246729200095,50x50,0.001,2000000,0.515092125
4,Gibbs,24.965222124999855,10x10,0.001,750000,0.5107466666666667
4,Token,9.878466499998467,10x10,0.001,750000,0.506014
4,Gibbs,22.328975500000524,20x20,0.001,1500000,0.4748
4,Token,33.393390958000964,20x20,0.001,1500000,0.4853077777777778
4,Gibbs,270.44982016599533,50x50,0.001,2000000,0.5175071111111111
4,Token,148.26387595800043,50x50,0.001,2000000,0.5112517
